Title,letterboxd_score,imdb_score
12angrymen,9.5971830985915485,9
2001aspaceodyssey,9.267045454545457,8.3
4months3weeksand2days,8.775510204081632,7.9
8half,8.485380116959064,NA
Abrightersummerday,9.255882352941176,8.2
Amanescaped,8.861764705882353,8.2
Amatteroflifeanddeath,8.94186046511628,8
Aseparation,9.257790368271955,8.3
Aspecialday,9.017543859649123,8.1
Awomanundertheinfluence,9.283236994219653,8
Aceinthehole,8.771186440677965,8.1
Aftersun,9.109467455621305,7.6
Akira,8.70674486803519,8
Alien,9.363636363636363,8.5
Allabouteve,8.979885057471265,8.2
Allthatjazz,9.137026239067056,7.8
Amadeus,9.335227272727272,8.4
Amour,8.802857142857142,7.9
Anautumnafternoon,8.76608187134503,8
Anelephantsittingstill,9.072674418604652,7.8
Anatomyofamurder,8.694285714285714,8
Andreirublev,9.211143695014664,8
Aparajito,8.729651162790697,8.8
Apocalypsenow,9.27887323943662,8.4
Apursansar,8.939481268011527,NA
Armyofshadows,8.994202898550725,8.1
Autumnsonata,9.267241379310343,8.1
Barrylyndon,9.329512893982807,8.1
Beforesunrise,9.181303116147308,8.1
Beforesunset,9.41926345609065,8.1
Bicyclethieves,8.855524079320114,8.2
Briefencounter,8.96264367816092,8
Casablanca,9.15850144092219,8.5
Centralstation,9.256338028169012,8
Childrenofmen,9.147727272727272,7.9
Childrenofparadise,8.577712609970675,8.3
Chinatown,8.959537572254336,8.1
Chungkingexpress,9.257879656160458,7.9
Cinemaparadiso,9.26,8.5
Citylights,8.890489913544668,8.5
Cityofgod,9.098870056497177,8.6
Closeup,9.152298850574711,8.2
Comeandsee,9.405172413793103,8.3
Cure,9.071428571428571,7.5
Dasboot,8.734463276836157,8.4
Deadpoetssociety,9.148148148148149,8.1
Dersuuzala,8.559766763848398,8.2
Djangounchained,8.912921348314606,8.5
Dotherightthing,9.294617563739376,8
Dogdayafternoon,9.258522727272728,8
Doubleindemnity,9.078034682080926,8.3
Drstrangeloveorhowilearnedtostopworryingandlovethebomb,8.825214899713467,8.3
Duneparttwo,9.077380952380953,8.5
Eternalsunshineofthespotlessmind,9.158640226628895,8.3
Eternityandaday,9.297687861271676,7.9
Eureka,6.91238670694864,7.7
Evangelion3010thriceuponatime,8.687116564417176,8
Everythingeverywhereallatonce,7.988235294117647,7.8
Fannyandalexander,9.12391930835735,8.1
Fantasticmrfox,9.267045454545457,7.9
Farewellmyconcubine,8.678571428571429,8.1
Fightclub,9.0791788856305,8.8
Funeralparadeofroses,9.0466472303207,7.7
Goodwillhunting,9.090909090909092,8.3
Goodfellas,9.427350427350428,8.7
Graveofthefireflies,9.09375,8.5
Happytogether1997,8.889855072463767,7.7
Harakiri,9.407407407407408,8.6
Heat,6.487878787878789,8.3
Highandlow,9.412103746397694,8.4
Howlsmovingcastle,8.674285714285714,8.2
Iamcuba,9.061946902654867,8.2
Ikiru,9.106628242074928,8.3
Inthemoodforlove,9.355491329479769,8.1
Incendies,8.826704545454545,8.3
Inglouriousbasterds,9.475920679886686,8.4
Interstellar,8.87106017191977,8.7
Itsawonderfullife,9.462857142857144,8.6
Itssuchabeautifulday,8.836309523809524,8.4
Jeannedielman23quaiducommerce1080bruxelles,8.814589665653497,7.5
Judgmentatnuremberg,8.843304843304843,8.3
Kes,8.654867256637168,7.9
Ladolcevita,8.783236994219653,8
Lahaine,9.096045197740114,8.1
Lanotte,8.892857142857142,7.9
Landscapeinthemist,9.005813953488373,7.9
Latespring,9.023054755043228,8.2
Lawrenceofarabia,9.136752136752136,8.3
Lesamourai,8.916184971098266,NA
Letrou,9.062678062678062,6.9
Lifeandnothingmore,8.848837209302326,6.7
Lifeisbeautiful,7.991477272727272,8.6
Loveexposure,8.885057471264368,8
M,8.84660766961652,8.3
Magnolia,9.13623188405797,8
Makewayfortomorrow,8.870967741935484,8.1
Malcolmx1992,9.208823529411765,7.7
Marceltheshellwithshoeson,7.9,7.6
Maryandmax,8.752136752136753,8.1
Memoriesofmurder,9.122507122507123,8.1
Metropolis,8.784883720930232,8.3
Millenniumactress,8.672463768115943,7.8
Mirror,8.931750741839762,8.2
Mishimaalifeinfourchapters,9.209912536443149,7.9
Moderntimes,8.864161849710984,8.5
Mommy2014,9.085470085470083,8
Monster,7.564469914040115,7.8
Mulhollanddrive,9.436781609195402,7.9
Napoleon,9.136904761904765,8.2
Neongenesisevangeliontheendofevangelion,9.25825825825826,8.1
Network,8.581395348837209,8.1
Nights of Cabiria,8.977077363896848,8.1
No Country for Old Men,9.13256484149856,8.2
Nobody Knows,8.887608069164266,8
Nostalgia1983,8.74251497005988,7.8
Oldboy,8.855907780979827,8.3
Onceuponatimeinthewest,9.2865329512894,8.5
Oneflewoverthecuckoosnest,8.90909090909091,8.7
Opening Night,8.949404761904763,7.9
Oppenheimer2023,8.607669616519175,8.3
Ordet,8.891891891891891,8.2
Paper Moon,9.074074074074074,8.1
Parasite,4.863372093023256,8.5
Paristexas,8.936599423631124,8.1
Pather Panchali,9.046376811594204,8.2
Pathsofglory,9.213675213675211,8.4
Perfectblue,8.948717948717949,8
Perfectdays2023,8.504398826979472,7.9
Persona,9.204610951008643,8
Portraitofaladyonfire,9.388571428571428,8.1
Princessmononoke,9.252840909090908,8.3
Prisoners,9.03954802259887,8.2
Psycho,9.434659090909092,8.5
Pulpfiction,8.960339943342778,8.9
Raging Bull,8.832853025936599,8.1
Raise the Red Lantern,8.924198250728862,8.1
Ran,9.250712250712253,8.2
Rashomon,8.643059490084985,8.2
Rearwindow,9.338235294117649,8.5
Red Beard,8.879310344827585,8.3
Rififi,8.653295128939828,8.1
Ritual2000,8.851632047477745,7.5
Roccoandhisbrothers,8.8231884057971,8.2
Samurai Rebellion,8.744252873563218,8.3
Sansho the Bailiff,9.028818443804036,8.3
Satantango,8.707165109034268,8.2
Saving Private Ryan,8.773638968481375,8.6
Scenesfromamarriage,8.941348973607038,8.3
Schindlerslist,9.133903133903134,9
Se7en,9.22316384180791,8.6
Secrets & Lies,9.196531791907514,8
Sevensamurai,9.371757925072046,8.6
Sherlock Jr.,8.931232091690545,8.2
Shoplifters,8.853107344632768,7.9
Singsing2023,8.844117647058823,7.7
Singin' in the Rain,9.51129943502825,8.3
Solaris,8.608823529411765,7.9
Somelikeithot,9.114285714285714,8.2
Sorcerer,9.014619883040936,7.7
Spider-Man: Across the Spider-Verse,9.07246376811594,8.5
Spider-Man: Into the Spider-Verse,9.46742209631728,8.4
Spiritedaway,9.343661971830986,8.6
Stalker,8.976047904191617,8.6
Stillwalking,9.031428571428572,7.9
Sunsetboulevard,9.286931818181818,8.4
Sweet Smell of Success,8.991279069767442,8
Swing Girls,8.975830815709969,7.5
Tampopo,8.69855072463768,7.9
Tasteofcherry,9.100286532951287,7.7
Terminator2judgmentday,9.452991452991451,8.6
The400blows,8.977272727272727,8
Theapartment,9.382183908045976,8.3
Theascent,9.060869565217391,8.2
Thebattleofalgiers,8.934911242603551,8.1
The Best of Youth,9.084057971014492,8.5
Thebestyearsofourlives,8.954022988505747,8.1
The Bridge on the River Kwai,8.585714285714285,8.1
The Celebration,8.707246376811595,8
The Cranes Are Flying,8.934097421203438,8.3
Thecremator,8.909090909090908,8
The Dark Knight,8.991329479768787,9
The Departed,9.037249283667622,8.5
Theelephantman,8.803418803418804,8.2
The Empire Strikes Back,9.54335260115607,8.7
The Face of Another,8.636887608069165,7.9
Thefather2020,8.597733711048159,8.2
The Fifth Seal,8.85919540229885,8.5
The First Slam Dunk,8.653958944281525,8
Thegodfather,9.048710601719195,9.2
Thegodfatherpartii,9.336206896551724,9
Thegoodthebadandtheugly,9.479885057471265,8.8
The Grand Budapest Hotel,9.13276836158192,8.1
Thegreatdictator,8.76300578034682,8.4
Thegreenmile,8.716292134831459,8.6
Thehandmaiden,9.201680672268909,8.1
The Holdovers,8.747800586510264,7.9
The Human Condition I: No Greater Love,9.186588921282798,8.5
The Human Condition II: Road to Eternity,9.026162790697674,8.5
The Human Condition III: A Soldier's Prayer,9.473837209302326,8.8
Thehunt2012,8.734463276836157,8.3
The Iron Giant,9.144092219020171,8.1
The King of Comedy,8.897727272727273,7.8
The Life and Death of Colonel Blimp,8.896449704142011,8
The Lion King,9.192528735632184,8.5
Thelivesofothers,8.188034188034187,8.4
The Lord of the Rings: The Fellowship of the Ring,9.383040935672517,8.9
The Lord of the Rings: The Return of the King,9.510086455331413,9
The Lord of the Rings: The Two Towers,9.354651162790695,8.8
Themanwhoshotlibertyvalance,9.044776119402986,8.1
Thenightofthehunter,8.883720930232558,8
Thepassionofjoanofarc,9.189655172413794,8.1
Thepianist,8.963483146067416,8.5
The Prestige,8.818941504178273,8.5
Theredshoes,9.185714285714283,8.1
The Sacrifice,8.901162790697674,7.9
Theseventhseal,8.728323699421965,8.1
The Shawshank Redemption,9.25287356321839,9.3
Theshining,9.424501424501424,8.4
The Silence of the Lambs,9.35632183908046,8.6
The Tale of the Princess Kaguya,9.008522727272728,8
The Thing,9.349431818181818,8.2
Thethirdman,8.8698224852071,8.1
The Treasure of the Sierra Madre,8.885386819484241,8.2
The Truman Show,9.056338028169014,8.2
Thewagesoffear,8.776504297994268,8.1
The Weeping Meadow,8.709770114942529,NA
The Young Girls of Rochefort,9.289398280802292,7.7
Therewillbeblood,9.406340057636887,8.2
Three Colors: Red,9.136363636363637,8.1
Throne of Blood,8.645348837209303,8
To Be or Not to Be,8.985549132947977,8.1
Tokyostory,9.025787965616043,8.1
Ugetsu,8.783382789317507,8.1
Umberto D.,8.69855072463768,8.2
Underground1995,8.816568047337277,8
Vertigo,8.837142857142856,8.3
War and Peace,6.22089552238806,8.3
Werckmeister Harmonies,8.774774774774775,8
Where Is the Friend's House?,8.836309523809524,8.1
Whiplash2014,9.296296296296296,8.5
Who's Afraid of Virginia Woolf?,8.97391304347826,8
Wild Strawberries,8.822857142857142,8.1
Wingsofdesire,8.833819241982507,7.9
Winter Light,8.58600583090379,8
Witnessfortheprosecution1957,8.829479768786127,8.4
Womaninthedunes,9.18,8.4
Yiyi,9.32471264367816,8.1
Yojimbo,8.728862973760933,8.2
Yourname,8.869688385269122,8.4
Z,8.970238095238095,8.1
